QC_MODE,SUHII_FB_C,SUHI_EXPORT_SCOPE,SUHI_RASTER_MODE,background_definition,background_mean_LST_C,background_valid_pixel_count,city,exclude_large_water_bodies,exclude_other_ucdb_centres,fb_background_area_km2,fixed_buffer_m,large_water_min_area_km2,lulc_reference_year,method,min_background_valid_pixels,min_urban_valid_pixels,min_valid_months,min_valid_obs,months,output_valid_mask_area_km2,period_id,period_name,quality_flag,sensor,time_of_day,urban_area_km2,urban_extent_source,urban_mean_LST_C,urban_pixel_source,urban_valid_pixel_count,year
moderate,3.0306515382695167,urban_background,pixel_anomaly,Fixed outward ring from UCDB boundary; LC_Type1 != 13; excluding other UCDB centres and water bodies > 1 km2,19.811336991506117,3857,Milan,True,True,2702.846588375,20000,1,2023,FB,100,50,8,20,"1,2,3,4,5,6,7,8,9,10,11,12",3364.854402065195,annual,Annual,valid,Terra,Day,714.3325361227947,GHS-UCDB R2024A,22.841988529775634,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
moderate,2.642808834012982,urban_background,pixel_anomaly,Fixed outward ring from UCDB boundary; LC_Type1 != 13; excluding other UCDB centres and water bodies > 1 km2,22.71418841432259,3857,Milan,True,True,2702.846588375,20000,1,2023,FB,100,50,2,5,"3,4,5",3364.854402065195,spring,Spring_MAM,valid,Terra,Day,714.3325361227947,GHS-UCDB R2024A,25.35699724833557,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
moderate,6.1786255849079375,urban_background,pixel_anomaly,Fixed outward ring from UCDB boundary; LC_Type1 != 13; excluding other UCDB centres and water bodies > 1 km2,31.10943723988149,3857,Milan,True,True,2702.846588375,20000,1,2023,FB,100,50,2,5,"6,7,8",3364.854402065195,summer,Summer_JJA,valid,Terra,Day,714.3325361227947,GHS-UCDB R2024A,37.28806282478943,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
moderate,2.014976608562602,urban_background,pixel_anomaly,Fixed outward ring from UCDB boundary; LC_Type1 != 13; excluding other UCDB centres and water bodies > 1 km2,18.881657881180935,3857,Milan,True,True,2702.846588375,20000,1,2023,FB,100,50,2,5,"9,10,11",3364.854402065195,autumn,Autumn_SON,valid,Terra,Day,714.3325361227947,GHS-UCDB R2024A,20.896634489743537,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
moderate,1.2861951255943573,urban_background,pixel_anomaly,Fixed outward ring from UCDB boundary; LC_Type1 != 13; excluding other UCDB centres and water bodies > 1 km2,6.540064430639768,3857,Milan,True,True,2702.846588375,20000,1,2023,FB,100,50,2,5,"12,1,2",3364.854402065195,winter,Winter_DJF,valid,Terra,Day,714.3325361227947,GHS-UCDB R2024A,7.826259556234126,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
moderate,5.373458290277171,urban_background,pixel_anomaly,Fixed outward ring from UCDB boundary; LC_Type1 != 13; excluding other UCDB centres and water bodies > 1 km2,29.953219196153512,3857,Milan,True,True,2702.846588375,20000,1,2023,FB,100,50,3,6,"6,7,8,9",3364.854402065195,jun_sep,June_to_September,valid,Terra,Day,714.3325361227947,GHS-UCDB R2024A,35.32667748643068,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
moderate,6.766817234016749,urban_background,pixel_anomaly,Fixed outward ring from UCDB boundary; LC_Type1 != 13; excluding other UCDB centres and water bodies > 1 km2,29.84725293748734,3857,Milan,True,True,2702.846588375,20000,1,2023,FB,100,50,1,2,7,3364.854402065195,july,July,valid,Terra,Day,714.3325361227947,GHS-UCDB R2024A,36.61407017150409,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
moderate,5.498877352920175,urban_background,pixel_anomaly,Fixed outward ring from UCDB boundary; LC_Type1 != 13; excluding other UCDB centres and water bodies > 1 km2,31.951469353141242,3857,Milan,True,True,2702.846588375,20000,1,2023,FB,100,50,1,2,8,3364.854402065195,august,August,valid,Terra,Day,714.3325361227947,GHS-UCDB R2024A,37.45034670606142,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
moderate,2.9579564063850903,urban_background,pixel_anomaly,Fixed outward ring from UCDB boundary; LC_Type1 != 13; excluding other UCDB centres and water bodies > 1 km2,26.48456506496958,3857,Milan,True,True,2702.846588375,20000,1,2023,FB,100,50,1,2,9,3364.854402065195,september,September,valid,Terra,Day,714.3325361227947,GHS-UCDB R2024A,29.44252147135467,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
moderate,2.332360240333694,urban_background,pixel_anomaly,Fixed outward ring from UCDB boundary; LC_Type1 != 13; excluding other UCDB centres and water bodies > 1 km2,8.028120229432696,3857,Milan,True,True,2702.846588375,20000,1,2023,FB,100,50,8,20,"1,2,3,4,5,6,7,8,9,10,11,12",3364.854402065195,annual,Annual,valid,Terra,Night,714.3325361227947,GHS-UCDB R2024A,10.36048046976639,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
moderate,1.5213161261944634,urban_background,pixel_anomaly,Fixed outward ring from UCDB boundary; LC_Type1 != 13; excluding other UCDB centres and water bodies > 1 km2,7.586267676463514,3828,Milan,True,True,2702.846588375,20000,1,2023,FB,100,50,2,5,"3,4,5",3364.854402065195,spring,Spring_MAM,valid,Terra,Night,714.3325361227947,GHS-UCDB R2024A,9.107583802657977,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
moderate,4.153019118950482,urban_background,pixel_anomaly,Fixed outward ring from UCDB boundary; LC_Type1 != 13; excluding other UCDB centres and water bodies > 1 km2,19.48926024532475,3857,Milan,True,True,2702.846588375,20000,1,2023,FB,100,50,2,5,"6,7,8",3364.854402065195,summer,Summer_JJA,valid,Terra,Night,714.3325361227947,GHS-UCDB R2024A,23.642279364275232,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
moderate,2.0517631573156594,urban_background,pixel_anomaly,Fixed outward ring from UCDB boundary; LC_Type1 != 13; excluding other UCDB centres and water bodies > 1 km2,7.057360120241143,3766,Milan,True,True,2702.846588375,20000,1,2023,FB,100,50,2,5,"9,10,11",3364.854402065195,autumn,Autumn_SON,valid,Terra,Night,714.3325361227947,GHS-UCDB R2024A,9.109123277556803,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
moderate,1.7507786771946723,urban_background,pixel_anomaly,Fixed outward ring from UCDB boundary; LC_Type1 != 13; excluding other UCDB centres and water bodies > 1 km2,-2.1540918783590945,3823,Milan,True,True,2702.846588375,20000,1,2023,FB,100,50,2,5,"12,1,2",3364.854402065195,winter,Winter_DJF,valid,Terra,Night,714.3325361227947,GHS-UCDB R2024A,-0.40331320116442226,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
moderate,3.790935738001213,urban_background,pixel_anomaly,Fixed outward ring from UCDB boundary; LC_Type1 != 13; excluding other UCDB centres and water bodies > 1 km2,17.712083643977337,3857,Milan,True,True,2702.846588375,20000,1,2023,FB,100,50,3,6,"6,7,8,9",3364.854402065195,jun_sep,June_to_September,valid,Terra,Night,714.3325361227947,GHS-UCDB R2024A,21.50301938197855,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
moderate,4.525866712327552,urban_background,pixel_anomaly,Fixed outward ring from UCDB boundary; LC_Type1 != 13; excluding other UCDB centres and water bodies > 1 km2,18.58907651331144,3843,Milan,True,True,2702.846588375,20000,1,2023,FB,100,50,1,2,7,3364.854402065195,july,July,valid,Terra,Night,714.3325361227947,GHS-UCDB R2024A,23.114943225638992,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
